"Jahr";"Quartal";"Monat";"Betriebsart";"Tourismus_Ankünfte";"Tourismus_Übernachtungen";"Tourismus_Betriebe";"Tourismus_Betten"
"2005";"2. Quartal";"05";"Gasthöfe";2222;4334;18;343
"2005";"2. Quartal";"05";"Pensionen";3181;8509;32;582
"2005";"2. Quartal";"05";"Jugendherbergen";8025;19839;7;898
"2005";"2. Quartal";"05";"sonstige";2053;6775;7;393
"2005";"2. Quartal";"06";"Hotels";96572;207877;68;11146
"2005";"2. Quartal";"06";"Hotels garni";14319;31095;23;1869
"2005";"2. Quartal";"06";"Gasthöfe";1808;3433;18;338
"2005";"2. Quartal";"06";"Pensionen";2778;7387;32;582
"2005";"2. Quartal";"06";"Jugendherbergen";7909;19168;7;898
"2005";"2. Quartal";"06";"sonstige";1705;5604;7;371
"2005";"3. Quartal";"07";"Hotels";96105;210631;67;11116
"2005";"3. Quartal";"07";"Hotels garni";13504;28883;22;1831
"2005";"3. Quartal";"07";"Gasthöfe";2515;3848;18;338
"2005";"3. Quartal";"07";"Pensionen";2729;7042;32;582
"2005";"3. Quartal";"07";"Jugendherbergen";8314;20419;7;898
"2005";"3. Quartal";"07";"sonstige";1617;6079;6;379
"2005";"3. Quartal";"08";"Hotels";104229;234348;68;11166
"2005";"3. Quartal";"08";"Hotels garni";15510;32296;21;1813
"2005";"3. Quartal";"08";"Gasthöfe";2092;3890;18;338
"2005";"3. Quartal";"08";"Pensionen";2971;7044;32;582
"2005";"3. Quartal";"08";"Jugendherbergen";7699;18545;7;898
